time,house_price,rate,house_price_CSI,exchange_rate,house_CSI,land_rate,CLI
13-Jan,76.6,2.75,90,1089,108.4,0.037,89.8
13-Feb,76.3,2.75,94,1083,116.5,0.029,90.1
13-Mar,76.1,2.75,99,1111,114.8,0.101,90.4
13-Apr,76,2.75,103,1101,117.3,0.106,90.7
13-May,76.1,2.5,111,1129.7,115.5,0.133,91
13-Jun,76.2,2.5,109,1142,109.7,0.089,91.4
13-Jul,76,2.5,99,1123.5,113.8,0.05,91.9
13-Aug,75.8,2.5,99,1110,123.9,-0.019,92.3
13-Sep,75.8,2.5,109,1074.7,130.4,0.037,92.5
13-Oct,76,2.5,114,1060.7,130.2,0.104,92.9
13-Nov,76.2,2.5,111,1058.2,120.3,0.118,93.3
13-Dec,76.2,2.5,109,1055.4,113.8,0.124,93.7
14-Jan,76.4,2.5,115,1070.4,128.2,0.042,94
14-Feb,76.6,2.5,121,1067.5,134.7,0.083,94.3
14-Mar,76.9,2.5,120,1064.7,120.2,0.135,94.5
14-Apr,76.8,2.5,114,1033.2,117.4,0.14,94.8
14-May,76.8,2.5,112,1020.1,116.1,0.134,94.9
14-Jun,76.7,2.5,111,1011.8,110.9,0.092,95.2
14-Jul,76.7,2.5,111,1027.9,119.5,0.109,95.4
14-Aug,76.8,2.25,120,1014,129.5,0.077,95.8
14-Sep,77.1,2.25,123,1055.2,131.7,0.085,96.2
14-Oct,77.3,2,115,1068.5,133.2,0.124,96.6
14-Nov,77.5,2,118,1107.9,125.6,0.1,96.9
14-Dec,77.6,2,115,1099.3,114.6,0.109,97.2
15-Jan,77.7,2,116,1093.5,132.4,0.108,97.8
15-Feb,77.9,2,119,1098.4,134.4,0.112,98.2
15-Mar,78.2,1.75,124,1109.5,136.8,0.133,98.7
15-Apr,78.7,1.75,123,1072.4,139.9,0.148,99.2
15-May,79.1,1.75,123,1108.2,135.9,0.11,99.6
15-Jun,79.5,1.5,120,1115.5,126.7,0.155,99.9
15-Jul,79.7,1.5,121,1170,133.7,0.165,100.2
15-Aug,80,1.5,118,1182.5,133.3,0.134,100.5
15-Sep,80.3,1.5,119,1185.3,132.3,0.135,101.1
15-Oct,80.6,1.5,119,1140.1,136.3,0.18,101.4
15-Nov,80.9,1.5,114,1158.1,126.4,0.167,101.7
15-Dec,81,1.5,106,1172.5,111.1,0.174,101.7
16-Jan,81.1,1.5,102,1199.1,116.6,0.088,101.7
16-Feb,81.1,1.5,103,1236.7,119.4,0.109,101.8
16-Mar,81.1,1.5,101,1143.5,119.4,0.171,102.1
16-Apr,81.1,1.5,108,1139.3,124,0.17,102.5
16-May,81.1,1.5,109,1191.7,124,0.183,102.9
16-Jun,81.2,1.25,114,1151.8,121.9,0.222,103.2
16-Jul,81.3,1.25,114,1120.2,126.8,0.22,103.6
16-Aug,81.3,1.25,112,1114.8,130.2,0.205,104.1
16-Sep,81.4,1.25,114,1101.3,127.5,0.212,104.6
16-Oct,81.5,1.25,119,1144.5,129.4,0.232,105.1
16-Nov,81.7,1.25,110,1169.1,117.1,0.221,105.6
16-Dec,81.7,1.25,97,1207.7,105,0.176,106.1
17-Jan,81.7,1.25,95,1162.1,108.8,0.146,106.6
17-Feb,81.7,1.25,93,1130.7,112.8,0.209,107.2
17-Mar,81.8,1.25,102,1118.4,115.2,0.326,107.6
17-Apr,81.9,1.25,107,1137.9,115.7,0.324,108.1
17-May,82,1.25,113,1119.5,120.4,0.342,108.4
17-Jun,82.1,1.25,121,1144.1,119.2,0.327,108.9
17-Jul,82.3,1.25,121,1119,123.9,0.313,109.3
17-Aug,82.6,1.25,104,1127.8,117.3,0.284,109.8
17-Sep,82.7,1.25,110,1145.4,112.9,0.274,110.1
17-Oct,82.9,1.25,114,1120.4,110.4,0.263,110.4
17-Nov,83,1.5,109,1088.2,105.7,0.296,110.7
17-Dec,83.1,1.5,106,1070.5,101.1,0.292,110.8
18-Jan,83.1,1.5,112,1067.9,110.8,0.261,111.2
18-Feb,83.3,1.5,113,1082.8,111.5,0.258,111.5
18-Mar,83.4,1.5,108,1063.5,108.2,0.304,111.8
18-Apr,83.6,1.5,104,1068,101.2,0.388,111.8
18-May,83.6,1.5,103,1077.7,98.9,0.378,112.1
18-Jun,83.6,1.5,99,1114.5,95.6,0.404,112.3
18-Jul,83.6,1.5,101,1118.7,98.1,0.376,112.5
18-Aug,83.6,1.5,114,1112.9,110.5,0.408,112.4
18-Sep,84,1.5,133,1109.3,115.6,0.374,112.6
